                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4005,                 2.4142,                  1.349,                 1.2913,                0.57803,                0.51315,                  0.524,                0.29215,                0.57318,                0.49972,                0.50192,                0.24305,                 1.4896,                 2.8744,                  1.433,                 1.4078,               0.067078,             0.00033255,             0.00033255
                      2,                 1.4421,                 2.4297,                 1.2899,                  1.329,                0.60607,                0.54584,                0.56368,                0.31951,                0.59281,                0.52938,                0.53557,                0.26156,                 1.4017,                 2.5163,                 1.3524,                 1.3381,               0.034077,             0.00066523,             0.00066523
                      3,                 1.4152,                 2.3593,                 1.2569,                 1.3151,                0.62458,                0.54656,                0.57879,                0.32652,                0.62522,                0.53573,                 0.5643,                0.27769,                 1.3962,                 2.4122,                 1.3104,                 1.3293,              0.0010741,             0.00099531,             0.00099531
                      4,                 1.3661,                 2.2624,                 1.2053,                 1.2836,                0.65445,                0.56961,                0.60771,                0.35961,                0.65478,                0.56046,                0.59655,                0.30799,                 1.3626,                 2.2653,                  1.227,                 1.3129,             0.00099123,             0.00099123,             0.00099123
                      5,                 1.3301,                 2.1993,                 1.1554,                  1.271,                0.67847,                0.60045,                0.65311,                0.39989,                0.68366,                0.59529,                0.64883,                0.35103,                 1.2711,                 2.1624,                 1.1042,                 1.2788,             0.00099123,             0.00099123,             0.00099123
                      6,                 1.2905,                 2.1314,                 1.1203,                 1.2453,                0.67459,                0.60045,                0.64663,                0.39451,                0.67177,                0.59524,                0.63593,                0.34167,                 1.2774,                 2.1457,                 1.0831,                 1.2804,             0.00098445,             0.00098445,             0.00098445
                      7,                 1.2734,                 2.1033,                 1.0964,                 1.2353,                0.70171,                0.61254,                0.67596,                0.42148,                0.70155,                0.60826,                  0.668,                0.37132,                  1.203,                 2.0327,                 1.0404,                  1.231,             0.00097577,             0.00097577,             0.00097577
                      8,                 1.2578,                 2.0713,                 1.0753,                 1.2293,                0.69447,                0.60749,                0.66511,                0.40435,                0.69151,                0.60152,                0.65633,                0.35412,                 1.2608,                 2.0776,                 1.0507,                 1.2639,             0.00096524,             0.00096524,             0.00096524
                      9,                 1.2459,                 2.0384,                 1.0481,                  1.217,                0.70274,                 0.6303,                0.68793,                0.43407,                0.70284,                0.62502,                0.68074,                 0.3789,                 1.2042,                 2.0112,                0.99545,                  1.242,             0.00095289,             0.00095289,             0.00095289
                     10,                 1.2294,                 2.0114,                 1.0279,                 1.2061,                0.71041,                0.63053,                0.68876,                 0.4352,                0.71064,                0.62686,                0.68173,                0.37675,                 1.1774,                 1.9801,                 1.0063,                 1.2162,             0.00093877,             0.00093877,             0.00093877
                     11,                 1.2139,                 1.9879,                 1.0139,                  1.201,                0.71156,                 0.6189,                0.68967,                0.43724,                0.70934,                0.61568,                0.68255,                0.38269,                  1.197,                 2.0109,                 1.0149,                 1.2311,             0.00092294,             0.00092294,             0.00092294
                     12,                 1.2065,                 1.9639,                 1.0019,                 1.1975,                0.71825,                0.64216,                0.70636,                0.44878,                 0.7186,                0.63988,                0.70016,                0.39542,                   1.18,                 1.9657,                0.97313,                 1.2089,             0.00090546,             0.00090546,             0.00090546
                     13,                 1.1925,                 1.9319,                0.98825,                 1.1856,                0.73297,                0.65031,                0.71896,                0.46324,                0.73783,                0.64572,                0.71372,                0.40594,                 1.1511,                 1.9133,                0.93547,                 1.1873,              0.0008864,              0.0008864,              0.0008864
                     14,                 1.1894,                 1.9306,                0.97777,                 1.1818,                0.73052,                0.64431,                0.71573,                0.46043,                0.72948,                0.64339,                0.70985,                0.40499,                 1.1577,                 1.9138,                 0.9494,                 1.1898,             0.00086584,             0.00086584,             0.00086584
                     15,                 1.1764,                 1.9032,                0.96033,                 1.1762,                0.73258,                0.64786,                0.71699,                0.46398,                0.73268,                0.64661,                0.71186,                0.40901,                 1.1389,                 1.8985,                 0.9372,                 1.1966,             0.00084385,             0.00084385,             0.00084385
                     16,                 1.1708,                 1.8964,                0.95122,                 1.1722,                0.74809,                0.64808,                0.72677,                0.47427,                0.74938,                0.64796,                0.72288,                0.41957,                 1.1201,                 1.8758,                0.92244,                 1.1805,             0.00082052,             0.00082052,             0.00082052
                     17,                 1.1554,                 1.8836,                0.94348,                 1.1661,                0.74641,                0.64997,                0.72824,                0.47194,                0.74748,                0.64339,                 0.7217,                0.41556,                 1.1251,                 1.8631,                0.90902,                 1.1826,             0.00079595,             0.00079595,             0.00079595
                     18,                 1.1471,                 1.8546,                0.93406,                 1.1641,                0.74158,                0.65391,                 0.7272,                0.47322,                0.74459,                0.65062,                0.72301,                0.41877,                 1.1254,                 1.8648,                0.90674,                 1.1889,             0.00077023,             0.00077023,             0.00077023
                     19,                 1.1374,                 1.8451,                   0.92,                 1.1569,                0.74123,                0.66367,                 0.7354,                0.47765,                0.73893,                0.66065,                 0.7284,                0.42124,                 1.1181,                 1.8412,                0.89323,                  1.173,             0.00074347,             0.00074347,             0.00074347
                     20,                 1.1295,                 1.8244,                0.91423,                  1.152,                0.74145,                0.65767,                0.73057,                0.47957,                0.74155,                0.65292,                0.72522,                0.42269,                 1.1099,                 1.8438,                0.89967,                 1.1698,             0.00071576,             0.00071576,             0.00071576
                     21,                 1.1233,                 1.8159,                0.89896,                 1.1505,                0.74729,                0.66176,                0.73772,                0.48571,                0.74721,                0.65793,                0.73282,                0.42852,                 1.0965,                 1.8156,                0.88187,                 1.1617,             0.00068722,             0.00068722,             0.00068722
                     22,                 1.1192,                 1.8028,                0.89624,                 1.1429,                0.74729,                0.66662,                0.74117,                0.48733,                 0.7448,                 0.6644,                0.73531,                0.43184,                  1.093,                  1.811,                0.88728,                 1.1606,             0.00065796,             0.00065796,             0.00065796
                     23,                 1.1124,                 1.7856,                0.89004,                 1.1382,                0.74293,                0.66313,                 0.7368,                0.48672,                0.74315,                0.65984,                0.73033,                 0.4297,                 1.0975,                 1.8074,                0.88556,                 1.1647,              0.0006281,              0.0006281,              0.0006281
                     24,                 1.1068,                 1.7787,                0.87906,                 1.1351,                 0.7475,                0.67289,                0.74287,                0.49419,                0.75103,                0.67091,                0.73942,                0.43549,                 1.0832,                 1.7882,                0.87506,                 1.1559,             0.00059775,             0.00059775,             0.00059775
                     25,                 1.0932,                 1.7555,                0.86482,                 1.1312,                 0.7579,                0.67415,                0.74915,                0.49999,                0.75977,                0.67293,                0.74564,                0.44269,                 1.0821,                 1.7854,                0.85272,                 1.1629,             0.00056704,             0.00056704,             0.00056704
                     26,                 1.0875,                 1.7466,                0.85806,                 1.1241,                0.74494,                0.67817,                0.74753,                0.49941,                0.74744,                 0.6735,                0.74355,                0.44269,                 1.0795,                 1.7723,                0.85629,                 1.1585,             0.00053608,             0.00053608,             0.00053608
