                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5187,                 2.6135,                 1.6272,                 1.2499,                0.56878,                0.50291,                0.51441,                0.27908,                0.56192,                0.47887,                0.48187,                0.22028,                 1.4753,                 2.8079,                 1.4551,                 1.2468,               0.067039,             0.00033294,             0.00033294
                      2,                 1.4539,                 2.4139,                 1.3788,                 1.2221,                0.64543,                0.56109,                0.60419,                0.35106,                0.63825,                0.54404,                0.57849,                0.28238,                 1.3606,                 2.4895,                  1.279,                 1.1858,               0.034023,             0.00065013,             0.00065013
                      3,                 1.4189,                 2.3332,                 1.3064,                   1.21,                 0.6373,                0.57753,                0.60529,                0.34798,                0.62218,                0.55943,                0.57449,                0.27775,                 1.3421,                  2.291,                 1.3265,                 1.1871,             0.00094451,             0.00090511,             0.00090511
                      4,                 1.3901,                 2.2687,                 1.2565,                 1.1911,                0.65812,                0.57945,                0.62451,                0.36757,                0.64623,                0.55996,                0.59904,                0.30326,                 1.3131,                 2.1723,                 1.1466,                 1.1582,             0.00079595,             0.00079595,             0.00079595
                      5,                 1.3627,                 2.2312,                 1.2025,                 1.1785,                0.67909,                0.60657,                0.65525,                0.39353,                0.67812,                0.59207,                0.63648,                0.33452,                 1.3009,                 2.1391,                 1.1184,                 1.1464,             0.00079595,             0.00079595,             0.00079595
                      6,                  1.334,                  2.181,                 1.1585,                 1.1626,                0.68902,                0.60929,                0.66637,                0.40688,                0.68638,                0.59422,                0.64593,                0.34304,                 1.2673,                 2.0987,                 1.0837,                 1.1369,             0.00065796,             0.00065796,             0.00065796
                      7,                 1.2992,                 2.1321,                 1.1251,                 1.1466,                0.69685,                0.62307,                0.67763,                 0.4196,                 0.6961,                0.60488,                0.65672,                0.34487,                 1.2277,                 2.0368,                 1.0417,                  1.119,               0.000505,               0.000505,               0.000505
                      8,                 1.2642,                 2.0708,                 1.0925,                 1.1337,                 0.7156,                0.61855,                0.68931,                0.43054,                0.70863,                0.60562,                0.67183,                 0.3705,                 1.2072,                 1.9934,                 1.0065,                 1.1129,             0.00035204,             0.00035204,             0.00035204
                      9,                 1.2418,                  2.029,                 1.0558,                 1.1183,                0.70921,                0.63688,                 0.6966,                0.44136,                0.70173,                0.62131,                0.67573,                0.36722,                 1.1851,                 1.9637,                0.98807,                 1.0934,             0.00021405,             0.00021405,             0.00021405
                     10,                 1.2226,                 2.0072,                 1.0304,                 1.1068,                0.72234,                0.63547,                0.70495,                0.44845,                0.72312,                0.61523,                0.68425,                0.37138,                 1.1707,                 1.9343,                0.96491,                 1.0889,             0.00010454,             0.00010454,             0.00010454
